,block_number,block_timestamp,block_time,rai_redemption_price,rai_balance,rai_balance_usd,threecrv_balance,total_pool_balance
112,13746171,1638708471,2021-12-05 13:47:51,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
113,13747171,1638722712,2021-12-05 17:45:12,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
114,13748171,1638736882,2021-12-05 21:41:22,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
115,13749171,1638750807,2021-12-06 01:33:27,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
116,13750171,1638764765,2021-12-06 05:26:05,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
117,13751171,1638778457,2021-12-06 09:14:17,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
118,13752171,1638792311,2021-12-06 13:05:11,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
119,13753171,1638805582,2021-12-06 16:46:22,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
120,13754171,1638819503,2021-12-06 20:38:23,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
121,13755171,1638833525,2021-12-07 00:32:05,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
122,13756171,1638846781,2021-12-07 04:13:01,3.0292040377613447,8097.768533708027,24529.79313916512,22267.734826319378,46797.52796548449
123,13757171,1638860602,2021-12-07 08:03:22,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
124,13758171,1638875155,2021-12-07 12:05:55,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
125,13759171,1638888899,2021-12-07 15:54:59,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
126,13760171,1638902565,2021-12-07 19:42:45,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
127,13761171,1638916073,2021-12-07 23:27:53,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
128,13762171,1638930272,2021-12-08 03:24:32,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
129,13763171,1638943539,2021-12-08 07:05:39,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
130,13764171,1638957261,2021-12-08 10:54:21,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
131,13765171,1638971732,2021-12-08 14:55:32,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
132,13766171,1638985510,2021-12-08 18:45:10,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
133,13767171,1638999139,2021-12-08 22:32:19,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
134,13768171,1639013439,2021-12-09 02:30:39,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
135,13769171,1639026726,2021-12-09 06:12:06,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
136,13770171,1639040816,2021-12-09 10:06:56,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
137,13771171,1639054645,2021-12-09 13:57:25,3.030738938614842,8097.768533708027,24542.22241099893,22267.734826319378,46809.957237318304
138,13772171,1639068375,2021-12-09 17:46:15,3.0315360976200973,8097.768533708027,24548.67762010805,22267.734826319378,46816.41244642743
139,13773171,1639082001,2021-12-09 21:33:21,3.0315360976200973,8097.768533708027,24548.67762010805,22267.734826319378,46816.41244642743
140,13774171,1639095980,2021-12-10 01:26:20,3.0315360976200973,8097.768533708027,24548.67762010805,22267.734826319378,46816.41244642743
141,13775171,1639109913,2021-12-10 05:18:33,3.0315360976200973,8097.768533708027,24548.67762010805,22267.734826319378,46816.41244642743
142,13776171,1639123505,2021-12-10 09:05:05,3.0315360976200973,8097.768533708027,24548.67762010805,22267.734826319378,46816.41244642743
